,Open,High,Low,Weighted Price,price,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum_1,momentum_2,momentum_3,momentum_4,momentum_5,momentum_1 return,momentum_2 return,momentum_3 return,momentum_4 return,momentum_5 return,datetime,bitcoin,Hourly Polarity Mean,Hourly Polarity Weighted Mean 1,Hourly Polarity Weighted Mean 1_2,Hourly Polarity Weighted Mean 1_4
2020-02-01 00:00:00,9337.1,9376.3,9336.0,9355.76,9372.0,9334.100000000017,9319.061904761904,9338.414300107117,9331.897840298134,-6.5164598089832,39.76807765032699,9398.598060062557,9239.52574946125,9364.617839964196,9339.3,9390.0,9350.5,9303.4,9284.6,1.003501333076355,0.9980830670926517,1.0022993422811615,1.0073736483436164,1.0094134373047843,2020-02-01 00:00:00,73.0,,,,
2020-02-01 01:00:00,9372.1,9418.0,9372.0,9396.57,9417.9,9351.100000000015,9320.085714285713,9344.302129728812,9345.128941790728,0.8268120619159163,46.99184326386746,9414.069400813449,9226.102027757977,9400.139279988065,9372.0,9339.3,9390.0,9350.5,9303.4,1.0048975672215108,1.008416048311972,1.0029712460063898,1.0072081706860596,1.0123073285035578,2020-02-01 01:00:00,67.0,,,,
2020-02-01 02:00:00,9418.0,9453.9,9396.3,9427.9,9425.9,9371.285714285728,9324.890476190476,9350.346416415567,9357.555258438308,7.20884202274101,43.912694769365636,9412.715865729208,9237.065086651744,9417.313093329356,9417.9,9372.0,9339.3,9390.0,9350.5,1.0008494462672146,1.0057511737089202,1.00927264356001,1.0038232161874334,1.0080637399069567,2020-02-01 02:00:00,66.0,,,,
2020-02-01 03:00:00,9437.7,9447.7,9395.8,9412.27,9417.6,9387.600000000017,9328.014285714286,9355.328163347747,9366.79291098626,11.464747638512563,34.74526346620795,9397.5048126467,9258.52375878187,9417.504364443119,9425.9,9417.9,9372.0,9339.3,9390.0,0.9991194474798163,0.9999681457649795,1.004865556978233,1.0083839259901708,1.0029392971246007,2020-02-01 03:00:00,65.0,,,,
2020-02-01 04:00:00,9417.6,9441.9,9391.9,9420.98,9391.9,9393.514285714302,9330.295238095237,9358.03718828495,9370.655540065298,12.618351780347439,30.661127864246364,9391.617493823731,9268.972982366744,9400.434788147706,9417.6,9425.9,9417.9,9372.0,9339.3,0.9972710669384981,0.9963929173871992,0.9972392996315527,1.0021233461374306,1.005632113755849,2020-02-01 04:00:00,61.0,,,,
2020-02-01 05:00:00,9391.9,9402.0,9375.6,9392.3,9375.6,9391.45714285716,9330.909523809523,9359.338137300881,9371.416226209098,12.07808890821616,31.410128788005217,9393.729781385533,9268.089266233514,9383.878262715902,9391.9,9417.6,9425.9,9417.9,9372.0,0.998264461929961,0.9955402650356778,0.9946636395463564,0.995508552862103,1.0003841229193342,2020-02-01 05:00:00,62.0,,,,
2020-02-01 06:00:00,9375.9,9396.8,9375.1,9386.5,9386.1,9398.142857142873,9333.090476190477,9361.320497500816,9373.675268330775,12.354770829959307,22.041692096549696,9377.173860383577,9289.007091997377,9385.3594209053,9375.6,9391.9,9417.6,9425.9,9417.9,1.0011199283245873,0.9993824465763052,0.9966551987767585,0.9957775915297213,0.9966234510878222,2020-02-01 06:00:00,64.0,,,,
2020-02-01 07:00:00,9391.5,9446.1,9391.5,9425.28,9415.4,9404.342857142872,9337.966666666665,9365.326386574829,9380.094457818348,14.768071243519444,19.409177995966914,9376.7850226586,9299.148310674731,9405.3864736351,9386.1,9375.6,9391.9,9417.6,9425.9,1.0031216373147527,1.0042450616493876,1.0025021561132466,0.9997663948352021,0.998886048016635,2020-02-01 07:00:00,66.0,,,,
2020-02-01 08:00:00,9415.5,9415.8,9372.0,9388.07,9372.1,9397.800000000017,9340.923809523809,9365.828135717435,9378.864541230909,13.036405513474165,21.665794854322815,9384.255399232454,9297.592219815164,9383.1954912117,9415.4,9386.1,9375.6,9391.9,9417.6,0.9954011513053084,0.9985084326823708,0.999626690558471,0.9978918003811796,0.9951686204553177,2020-02-01 08:00:00,63.0,,,,
2020-02-01 09:00:00,9372.1,9385.2,9345.2,9363.21,9380.1,9391.257142857163,9346.480952380953,9366.885310849477,9379.054611810769,12.16930096129181,18.44115480329582,9383.363261987544,9309.598642774361,9381.1318304039,9372.1,9415.4,9386.1,9375.6,9391.9,1.0008535973794561,0.9962508231195701,0.9993607568638732,1.000479969281966,0.9987435982069657,2020-02-01 09:00:00,58.0,,,,
2020-02-01 10:00:00,9380.5,9396.4,9357.0,9376.51,9368.4,9384.228571428588,9351.923809523809,9366.997510045812,9377.415440762958,10.417930717145282,15.932954767461355,9383.789719058732,9320.057899988886,9372.643943467965,9380.1,9372.1,9415.4,9386.1,9375.6,0.9987526785428726,0.9996052112120015,0.9950081780912122,0.9981142327484258,0.9992320491488544,2020-02-01 10:00:00,60.0,,,,
2020-02-01 11:00:00,9368.1,9369.8,9324.2,9335.95,9343.6,9377.32857142859,9356.32857142857,9365.26436115353,9372.213065260963,6.948704107433514,21.53181477771888,9399.392200984008,9313.264941873133,9353.281314489323,9368.4,9380.1,9372.1,9415.4,9386.1,0.997352803040007,0.996108783488449,0.9969590593356878,0.9923741954670009,0.9954720277857683,2020-02-01 11:00:00,61.0,,,,
2020-02-01 12:00:00,9343.7,9350.0,9283.5,9311.85,9298.4,9366.300000000017,9355.614285714286,9360.311445512527,9360.85720906697,0.5457635544426012,36.87148853341341,9429.357262781112,9281.87130864746,9316.69377149644,9343.6,9368.4,9380.1,9372.1,9415.4,0.9951624641465815,0.9925280730967935,0.9912900715344185,0.9921362341417611,0.9875735497164221,2020-02-01 12:00:00,59.0,,,,
2020-02-01 13:00:00,9297.0,9358.7,9294.2,9339.59,9340.6,9359.80000000002,9358.942857142856,9358.851338437526,9357.740715364358,-1.1106230731675168,36.80973603096909,9432.562329204795,9285.323385080917,9332.63125716548,9298.4,9343.6,9368.4,9380.1,9372.1,1.0045384152112191,0.9996789246114988,0.997032577601298,0.9957889574738009,0.9966389603183918,2020-02-01 13:00:00,58.0,,,,
2020-02-01 14:00:00,9340.5,9340.5,9295.0,9311.49,9337.5,9348.671428571446,9362.371428571429,9357.269757812524,9354.626759154457,-2.6429986580678815,27.894904808740154,9418.161238188908,9306.58161895395,9335.877085721826,9340.6,9298.4,9343.6,9368.4,9380.1,0.9996681155386163,1.0042050245203475,0.9993471467100474,0.9967016779812988,0.9954584705919979,2020-02-01 14:00:00,58.0,,,,
2020-02-01 15:00:00,9333.9,9362.3,9320.9,9346.44,9326.4,9342.142857142875,9363.680952380952,9354.983109085671,9350.284180823002,-4.698928262669142,26.825103736596777,9417.331159854146,9310.030744907757,9329.559028573942,9337.5,9340.6,9298.4,9343.6,9368.4,0.9988112449799197,0.9984797550478555,1.003011270756259,0.998159167772593,0.995516843858076,2020-02-01 15:00:00,58.0,,,,
2020-02-01 16:00:00,9323.3,9386.7,9320.0,9349.59,9386.7,9343.085714285733,9368.542857142857,9357.332508412659,9355.886614542542,-1.4458938701172883,28.44845798822407,9425.439773119304,9311.64594116641,9367.653009524647,9326.4,9337.5,9340.6,9298.4,9343.6,1.0064655172413794,1.005269076305221,1.0049354431192858,1.0094962574206316,1.0046127830814675,2020-02-01 16:00:00,58.0,,,,
2020-02-01 17:00:00,9387.3,9405.0,9354.6,9374.42,9373.0,9343.742857142874,9371.857142857143,9358.493063345055,9358.51944307446,0.026379729404652608,29.174524111728804,9430.2061910806,9313.508094633686,9371.21766984155,9386.7,9326.4,9337.5,9340.6,9298.4,0.998540488137471,1.0049965688797393,1.00380187416332,1.0034687279189773,1.0080228856577476,2020-02-01 17:00:00,59.0,,,,
2020-02-01 18:00:00,9372.9,9385.8,9347.2,9367.32,9375.0,9348.22857142859,9373.02380952381,9359.71579939357,9361.054913370697,1.3391139771265443,31.47235370324277,9435.968516930294,9310.079102117325,9373.739223280516,9373.0,9386.7,9326.4,9337.5,9340.6,1.0002133788541556,0.9987535555626578,1.005211013896037,1.0040160642570282,1.0036828469263217,2020-02-01 18:00:00,62.0,,,,
2020-02-01 19:00:00,9371.2,9371.7,9340.0,9356.52,9343.0,9354.600000000017,9370.785714285714,9358.477592031084,9358.27723439059,-0.2003576404931664,23.10605981129056,9416.997833908295,9324.573594663132,9353.24640776017,9375.0,9373.0,9386.7,9326.4,9337.5,0.9965866666666666,0.9967993171876667,0.9953444767596705,1.001779893635272,1.0005890227576975,2020-02-01 19:00:00,64.0,,,,
2020-02-01 20:00:00,9343.0,9374.7,9342.3,9357.69,9362.5,9357.72857142859,9371.890476190476,9358.775548176929,9358.926890638191,0.15134246126217477,22.3652792132949,9416.621034617066,9327.159917763885,9359.41546925339,9343.0,9375.0,9373.0,9386.7,9326.4,1.002087124050091,0.9986666666666667,0.9988797610156833,0.9974218841552408,1.0038707325441758,2020-02-01 20:00:00,67.0,,,,
2020-02-01 21:00:00,9360.8,9365.1,9340.5,9350.71,9354.1,9360.100000000019,9371.038095238097,9358.429211274935,9358.18429207847,-0.2449191964660713,20.679458406905077,9412.397012051906,9329.679178424287,9355.871823084462,9362.5,9343.0,9375.0,9373.0,9386.7,0.9991028037383178,1.0011880552285133,0.9977706666666667,0.9979835698282301,0.9965270009694568,2020-02-01 21:00:00,73.0,,,,
2020-02-01 22:00:00,9355.5,9385.0,9340.1,9371.06,9365.6,9365.70000000002,9368.54761904762,9358.960380810126,9359.325170220243,0.36478941011773713,14.381005991801384,9397.309631031223,9339.785607064017,9362.357274361488,9354.1,9362.5,9343.0,9375.0,9373.0,1.001229407425621,1.0003311081441923,1.0024189232580543,0.9989973333333334,0.9992104982396245,2020-02-01 22:00:00,81.0,,,,
2020-02-01 23:00:00,9366.1,9394.1,9365.6,9382.9,9377.1,9364.328571428592,9366.223809523812,9360.304056305673,9362.059759417129,1.7557031114556594,12.360382179445242,9390.944573882702,9341.503045164922,9372.185758120497,9365.6,9354.1,9362.5,9343.0,9375.0,1.0012278978388998,1.0024588148512417,1.0015594125500669,1.003649791287595,1.000224,2020-02-01 23:00:00,77.0,,,,
2020-02-02 00:00:00,9377.0,9377.0,9307.4,9327.86,9307.4,9354.957142857163,9360.976190476193,9356.385237320068,9353.650565660648,-2.7346716594202007,24.04016480418738,9409.056520084567,9312.895860867819,9328.995252706833,9377.1,9365.6,9354.1,9362.5,9343.0,0.9925669983257083,0.9937857691979157,0.9950075368020439,0.9941148197596795,0.9961896607085519,2020-02-02 00:00:00,67.0,,,,
2020-02-02 01:00:00,9310.4,9329.0,9302.0,9314.65,9319.6,9347.042857142878,9357.533333333335,9353.66040492599,9348.412017097471,-5.248387828518389,25.42156939449644,9408.376472122327,9306.690194544342,9322.731750902278,9307.4,9377.1,9365.6,9354.1,9362.5,1.0013107849668006,0.9938680402256561,0.9950884086444007,0.9963117777231374,0.9954178905206943,2020-02-02 01:00:00,64.0,,,,
2020-02-02 02:00:00,9316.4,9316.4,9230.0,9263.57,9255.3,9334.514285714307,9351.804761904763,9346.374449005547,9334.087091390169,-12.287357615377914,43.16477841065804,9438.134318726079,9265.475205083447,9277.777250300758,9319.6,9307.4,9377.1,9365.6,9354.1,0.9931005622558907,0.9944023035434171,0.9870109095562593,0.988222858119074,0.9894377866390138,2020-02-02 02:00:00,63.0,,,,
2020-02-02 03:00:00,9253.7,9275.2,9231.2,9253.03,9255.6,9319.242857142879,9345.590476190477,9339.650415745877,9322.01215425322,-17.638261492656966,49.98489295589944,9445.560262102275,9245.620690278678,9262.99241676692,9255.3,9319.6,9307.4,9377.1,9365.6,1.0000324138601668,0.9931327524786472,0.9944345359606336,0.9870429023898647,0.9882548902366106,2020-02-02 03:00:00,62.0,,,,
2020-02-02 04:00:00,9256.2,9315.0,9150.0,9216.96,9314.3,9313.557142857166,9340.776190476192,9337.772607172108,9320.825668983494,-16.946938188613785,47.56409209841072,9435.904374673013,9245.64800627937,9297.197472255639,9255.6,9255.3,9319.6,9307.4,9377.1,1.0063421064004494,1.006374725832766,0.9994313060646378,1.0007413455959773,0.9933028334986296,2020-02-02 04:00:00,61.0,,,,
2020-02-02 05:00:00,9314.3,9320.6,9281.4,9303.47,9290.0,9302.757142857166,9336.866666666667,9334.23389552973,9316.083258370649,-18.15063715908036,42.03977708249858,9420.946220831664,9252.78711250167,9292.399157418547,9314.3,9255.6,9255.3,9319.6,9307.4,0.9973911082958462,1.0037166688275205,1.003749203159271,0.9968238980213743,0.9981305198014484,2020-02-02 05:00:00,61.0,,,,
2020-02-02 06:00:00,9295.5,9370.8,9275.1,9334.36,9352.4,9299.228571428595,9335.547619047618,9335.579532897897,9321.670449390549,-13.909083507347532,35.24782330332428,9406.043265654267,9265.05197244097,9332.399719139516,9290.0,9314.3,9255.6,9255.3,9319.6,1.0067168998923572,1.0040904845237968,1.0104585332123255,1.0104912860739252,1.0035194643546932,2020-02-02 06:00:00,61.0,,,,
2020-02-02 07:00:00,9352.5,9375.0,9343.2,9360.27,9367.4,9307.800000000025,9335.5,9337.936604535089,9328.705764868926,-9.230839666162865,43.81921192053281,9423.138423841066,9247.861576158934,9355.73323971317,9352.4,9290.0,9314.3,9255.6,9255.3,1.0016038663872375,1.0083315392895587,1.0057009115016695,1.012079173689442,1.0121119790822557,2020-02-02 07:00:00,63.0,,,,
2020-02-02 08:00:00,9365.7,9375.0,9336.3,9353.64,9362.2,9313.88571428574,9336.385714285714,9339.733893088045,9333.85872411986,-5.87516896818488,48.445172741026795,9433.276059767768,9239.49536880366,9360.044413237723,9367.4,9352.4,9290.0,9314.3,9255.6,0.9994448833187438,1.0010478593729952,1.0077717976318623,1.0051426301493405,1.011517351657375,2020-02-02 08:00:00,65.0,,,,
2020-02-02 09:00:00,9364.1,9373.0,9347.8,9360.58,9369.4,9330.185714285739,9339.766666666666,9341.93138248893,9339.326612716804,-2.6047697721260192,44.48094830270227,9428.72856327207,9250.804770061262,9366.28147107924,9362.2,9367.4,9352.4,9290.0,9314.3,1.000769050009613,1.0002135064158677,1.0018177152388692,1.0085468245425189,1.0059156350987193,2020-02-02 09:00:00,60.0,,,,
2020-02-02 10:00:00,9371.7,9444.0,9371.7,9410.95,9417.9,9353.371428571454,9343.447619047618,9347.55868748975,9351.414826144988,3.8561386552373733,41.309914640697336,9426.067448329013,9260.827789766223,9400.69382369308,9369.4,9362.2,9367.4,9352.4,9290.0,1.0051764253847633,1.005949456324368,1.0053910370006618,1.007003549890937,1.013767491926803,2020-02-02 10:00:00,59.0,,,,
2020-02-02 11:00:00,9422.8,9433.7,9402.4,9419.48,9424.0,9369.042857142882,9347.566666666666,9353.221006934955,9362.581775968836,9.360769033881297,44.687278471007296,9436.941223608681,9258.19210972465,9416.23127456436,9417.9,9369.4,9362.2,9367.4,9352.4,1.000647702778751,1.00582748094862,1.0066010125825127,1.0060422315690587,1.0076557888884137,2020-02-02 11:00:00,62.0,,,,
2020-02-02 12:00:00,9429.5,9473.1,9402.3,9446.35,9419.9,9387.600000000024,9352.019047619047,9358.16019160644,9371.399964281323,13.23977267488408,31.38423170960812,9414.787511038263,9289.250584199832,9418.677091521453,9424.0,9417.9,9369.4,9362.2,9367.4,0.9995649405772495,1.0002123615668037,1.005389886225372,1.0061630813270384,1.0056045434165297,2020-02-02 12:00:00,62.0,,,,
2020-02-02 13:00:00,9417.1,9422.4,9400.5,9416.47,9420.2,9397.28571428574,9353.614285714286,9362.755732968924,9378.907662084195,16.151929115270832,29.08851025016151,9411.791306214609,9295.437265213963,9419.692363840484,9419.9,9424.0,9417.9,9369.4,9362.2,1.0000318474718417,0.9995967741935484,1.0002442158018243,1.0054219053514635,1.006195125077439,2020-02-02 13:00:00,62.0,,,,
2020-02-02 14:00:00,9420.7,9458.9,9362.8,9416.28,9439.9,9407.642857142882,9356.8,9368.470123119374,9388.291098686628,19.82097556725421,29.576953705180195,9415.95390741036,9297.646092589639,9433.16412128016,9420.2,9419.9,9424.0,9417.9,9369.4,1.0020912507165451,1.002123164789435,1.001687181663837,1.0023359772348401,1.0075244946314599,2020-02-02 14:00:00,61.0,,,,
